Gemeente,CBS,Veiligheidsregio's,Inwoneraantal van regio
Brummen,213,Noord- en Oost-Gelderland,812224
Brunssum,899,Limburg-Zuid,602040
Bunnik,312,Utrecht,1263509
Bunschoten,313,Utrecht,1263509
Buren,214,Gelderland-Zuid,543245
Capelle aan den IJssel,502,Rotterdam-Rijnmond,1279414
Castricum,383,Noord-Holland-Noord,646991
Coevorden,109,Drenthe,488611
Cranendonck,1706,Brabant-Zuidoost,752485
Cuijk,1684,Brabant-Noord,645711
Culemborg,216,Gelderland-Zuid,543245
Dalfsen,148,IJsselland,514650
Dantumadiel,1891,Fryslân,646324
De Bilt,310,Utrecht,1263509
De Fryske Marren,1940,Fryslân,646324
De Ronde Venen,736,Utrecht,1263509
De Wolden,1690,Drenthe,488611
Delft,503,Haaglanden,1061908
Delfzijl,10,Groningen,584104
Den Helder,400,Noord-Holland-Noord,646991
Deurne,762,Brabant-Zuidoost,752485
Deventer,150,IJsselland,514650
Diemen,384,Amsterdam-Amstelland,1008808
Dinkelland,1774,Twente,626009
Doesburg,221,Gelderland-Midden,670924
Doetinchem,222,Noord- en Oost-Gelderland,812224
Dongen,766,Midden- en West-Brabant,1091129
Dordrecht,505,Zuid-Holland-Zuid,367350
Drechterland,498,Noord-Holland-Noord,646991
Drimmelen,1719,Midden- en West-Brabant,1091129
Dronten,303,Flevoland,401503
Druten,225,Gelderland-Zuid,543245
Duiven,226,Gelderland-Midden,670924
Echt-Susteren,1711,Limburg-Noord,516014
Edam-Volendam,385,Zaanstreek-Waterland,328233
Ede,228,Gelderland-Midden,670924
Eemnes,317,Utrecht,1263509
Eersel,770,Brabant-Zuidoost,752485
Eijsden-Margraten,1903,Limburg-Zuid,602040
Eindhoven,772,Brabant-Zuidoost,752485
Elburg,230,Noord- en Oost-Gelderland,812224
Emmen,114,Drenthe,488611
Enkhuizen,388,Noord-Holland-Noord,646991
Enschede,153,Twente,626009
Epe,232,Noord- en Oost-Gelderland,812224
Ermelo,233,Noord- en Oost-Gelderland,812224
Etten-Leur,777,Midden- en West-Brabant,1091129
Geertruidenberg,779,Midden- en West-Brabant,1091129
Geldrop-Mierlo,1771,Brabant-Zuidoost,752485
Gemert-Bakel,1652,Brabant-Zuidoost,752485
Gennep,907,Limburg-Noord,516014
Gilze en Rijen,784,Midden- en West-Brabant,1091129
Goeree-Overflakkee,1924,Rotterdam-Rijnmond,1279414
Goes,664,Zeeland,380717
Goirle,785,Midden- en West-Brabant,1091129
Gooise Meren,1942,Gooi en Vechtstreek,246540
Gorinchem,512,Zuid-Holland-Zuid,367350
Gouda,513,Hollands-Midden,774476
Grave,786,Brabant-Noord,645711
s-Gravenhage,518,Haaglanden,1061908
Groningen,14,Groningen,584104
Gulpen-Wittem,1729,Limburg-Zuid,602040
Haaksbergen,158,Twente,626009
Haaren,788,Brabant-Noord,645711
Haarlem,392,Kennemerland,531591
Haarlemmermeer,394,Kennemerland,531591
Halderberge,1655,Midden- en West-Brabant,1091129
Hardenberg,160,IJsselland,514650
Harderwijk,243,Noord- en Oost-Gelderland,812224
Hardinxveld-Giessendam,523,Zuid-Holland-Zuid,367350
Harlingen,72,Fryslân,646324
Hattem,244,Noord- en Oost-Gelderland,812224
Heemskerk,396,Kennemerland,531591
Heemstede,397,Kennemerland,531591
Heerde,246,Noord- en Oost-Gelderland,812224
Heerenveen,74,Fryslân,646324
Heerhugowaard,398,Noord-Holland-Noord,646991
Heerlen,917,Limburg-Zuid,602040
Heeze-Leende,1658,Brabant-Zuidoost,752485
Heiloo,399,Noord-Holland-Noord,646991
Hellendoorn,163,Twente,626009
Hellevoetsluis,530,Rotterdam-Rijnmond,1279414
Helmond,794,Brabant-Zuidoost,752485
Hendrik-Ido-Ambacht,531,Zuid-Holland-Zuid,367350
Hengelo (O),164,Twente,626009
s-Hertogenbosch,796,Brabant-Noord,645711
Het Hogeland,1966,Groningen,584104
Heumen,252,Gelderland-Zuid,543245
Heusden,797,Brabant-Noord,645711
Hillegom,534,Hollands-Midden,774476
Hilvarenbeek,798,Midden- en West-Brabant,1091129
Hilversum,402,Gooi en Vechtstreek,246540
Hoeksche Waard,1963,Zuid-Holland-Zuid,367350
Hof van Twente,1735,Twente,626009
Hollands Kroon,1911,Noord-Holland-Noord,646991
Hoogeveen,118,Drenthe,488611
Hoorn,405,Noord-Holland-Noord,646991
Horst aan de Maas,1507,Limburg-Noord,516014
Houten,321,Utrecht,1263509
Huizen,406,Gooi en Vechtstreek,246540
Hulst,677,Zeeland,380717
IJsselstein,353,Utrecht,1263509
Kaag en Braassem,1884,Hollands-Midden,774476
Kampen,166,IJsselland,514650
Kapelle,678,Zeeland,380717
Katwijk,537,Hollands-Midden,774476
Kerkrade,928,Limburg-Zuid,602040
Koggenland,1598,Noord-Holland-Noord,646991
Krimpen aan den IJssel,542,Rotterdam-Rijnmond,1279414
Krimpenerwaard,1931,Hollands-Midden,774476
Laarbeek,1659,Brabant-Zuidoost,752485
Landerd,1685,Brabant-Noord,645711
Landgraaf,882,Limburg-Zuid,602040
Landsmeer,415,Zaanstreek-Waterland,328233
Langedijk,416,Noord-Holland-Noord,646991
Lansingerland,1621,Rotterdam-Rijnmond,1279414
Laren,417,Gooi en Vechtstreek,246540
Leeuwarden,80,Fryslân,646324
Leiden,546,Hollands-Midden,774476
Leiderdorp,547,Hollands-Midden,774476
Leidschendam-Voorburg,1916,Haaglanden,1061908
Lelystad,995,Flevoland,401503
Leudal,1640,Limburg-Noord,516014
Leusden,327,Utrecht,1263509
Lingewaard,1705,Gelderland-Midden,670924
Lisse,553,Hollands-Midden,774476
Lochem,262,Noord- en Oost-Gelderland,812224
Loon op Zand,809,Midden- en West-Brabant,1091129
Lopik,331,Utrecht,1263509
Loppersum,24,Groningen,584104
Losser,168,Twente,626009
Maasdriel,263,Gelderland-Zuid,543245
Maasgouw,1641,Limburg-Noord,516014
Maassluis,556,Rotterdam-Rijnmond,1279414
Maastricht,935,Limburg-Zuid,602040
Medemblik,420,Noord-Holland-Noord,646991
Meerssen,938,Limburg-Zuid,602040
Meierijstad,1948,Brabant-Noord,645711
Meppel,119,Drenthe,488611
Middelburg,687,Zeeland,380717
Midden-Delfland,1842,Haaglanden,1061908
Midden-Drenthe,1731,Drenthe,488611
Midden-Groningen,1952,Groningen,584104
Mill en Sint Hubert,815,Brabant-Noord,645711
Moerdijk,1709,Midden- en West-Brabant,1091129
Molenlanden,1978,Zuid-Holland-Zuid,367350
Montferland,1955,Noord- en Oost-Gelderland,812224
Montfoort,335,Utrecht,1263509
Mook en Middelaar,944,Limburg-Noord,516014
Neder-Betuwe,1740,Gelderland-Zuid,543245
Nederweert,946,Limburg-Noord,516014
Nieuwegein,356,Utrecht,1263509
Nieuwkoop,569,Hollands-Midden,774476
Nijkerk,267,Gelderland-Midden,670924
Nijmegen,268,Gelderland-Zuid,543245
Nissewaard,1930,Rotterdam-Rijnmond,1279414
Noord-Beveland,1695,Zeeland,380717
Noordenveld,1699,Drenthe,488611
Noordoostpolder,171,Flevoland,401503
Noordwijk,575,Hollands-Midden,774476
Nordeast-Fryslân,1970,Fryslân,646324
Nuenen Gerwen en Nederwetten,820,Brabant-Zuidoost,752485
Nunspeet,302,Noord- en Oost-Gelderland,812224
Oegstgeest,579,Hollands-Midden,774476
Oirschot,823,Brabant-Zuidoost,752485
Oisterwijk,824,Midden- en West-Brabant,1091129
Oldambt,1895,Groningen,584104
Oldebroek,269,Noord- en Oost-Gelderland,812224
Oldenzaal,173,Twente,626009
Olst-Wijhe,1773,IJsselland,514650
